UWI,MD,Inc,Az,eoff,noff,tvd,ss,,KB = ,824
100/01-07-013-18W4/00,2745.17,89.1,47.98,1514.25,1071.15,1043.73,-219.73,,,
100/01-07-013-18W4/00,2764.16,88.62,47.45,1528.27,1083.94,1044.1,-220.1,,,
100/01-07-013-18W4/00,2783.12,89.19,47.27,1542.23,1096.73,1044.47,-220.47,,,
100/01-07-013-18W4/00,2802.08,90.07,47.8,1556.18,1109.52,1044.59,-220.59,,,
100/01-07-013-18W4/00,2820.9,89.71,47.71,1570.14,1122.2,1044.62,-220.62,,,
100/01-07-013-18W4/00,2839.5,89.19,48.24,1583.95,1134.65,1044.8,-220.8,,,
100/01-07-013-18W4/00,2858.39,90.29,48.77,1598.12,1147.11,1044.89,-220.89,,,
100/01-07-013-18W4/00,2876.86,89.76,47.62,1611.86,1159.46,1044.88,-220.88,,,
100/01-07-013-18W4/00,2895.44,89.23,46.13,1625.38,1172.14,1045.04,-221.04,,,
100/01-07-013-18W4/00,2914.36,89.19,45.16,1638.91,1185.37,1045.31,-221.31,,,
100/01-07-013-18W4/00,2933.29,89.89,44.02,1652.22,1198.83,1045.46,-221.46,,,
100/01-07-013-18W4/00,2952.09,91.78,43.32,1665.17,1212.4,1045.18,-221.18,,,
100/01-07-013-18W4/00,2971.11,92.04,44.2,1678.34,1226.19,1044.55,-220.55,,,
100/01-07-013-18W4/00,2989.88,91.25,43.58,1691.36,1239.65,1044.01,-220.01,,,
100/01-07-013-18W4/00,3008.73,90.15,43.76,1704.38,1253.33,1043.78,-219.78,,,
100/01-07-013-18W4/00,3027.46,91.25,45.43,1717.48,1266.67,1043.55,-219.55,,,
100/01-07-013-18W4/00,3046.55,91.56,46.83,1731.29,1279.91,1043.08,-219.08,,,
100/01-07-013-18W4/00,3065.09,90.15,46.22,1744.67,1292.59,1042.81,-218.81,,,
100/01-07-013-18W4/00,3083.99,88.31,45.78,1758.27,1305.71,1043.06,-219.06,,,
100/01-07-013-18W4/00,3103.25,89.45,45.52,1772.08,1319.17,1043.44,-219.44,,,
